Rank,month1_01,month1_02,month1_03,month1_04,month1_05
1,politics_007,entertainment_030,football_087,tech_034,business030
2,politics_099,entertainment_091,football_088,tech_003,business044
3,politics_022,entertainment_095,football_086,tech_036,business066
4,politics_034,entertainment_099,football_017,tech_083,business073
5,politics_046,entertainment_038,football_075,tech_007,business050
6,politics_041,entertainment_062,football_065,tech_060,business098
7,politics_027,entertainment_067,football_098,tech_020,business016
8,politics_095,entertainment_073,football_008,tech_073,business057
9,politics_021,entertainment_047,football_010,tech_096,business024
10,politics_013,entertainment_097,football_089,tech_031,business006
11,politics_005,entertainment_051,football_090,tech_032,business097
12,politics_037,entertainment_039,football_009,tech_042,business094
13,politics_096,entertainment_082,football_085,tech_041,business045
14,politics_062,entertainment_069,football_025,tech_069,business077
15,politics_082,entertainment_063,football_056,tech_098,business023
16,politics_011,entertainment_034,football_002,tech_050,business072
17,politics_040,entertainment_075,football_080,tech_077,business053
18,politics_055,entertainment_064,football_007,tech_086,business028
19,politics_087,entertainment_090,football_092,tech_053,business004
20,politics_081,entertainment_086,football_021,tech_067,business022
21,politics_020,entertainment_061,football_083,tech_010,business056
22,politics_080,entertainment_078,football_028,tech_079,business089
23,politics_042,entertainment_070,football_001,tech_017,business063
24,politics_085,entertainment_079,football_047,tech_049,business084
25,politics_035,entertainment_045,football_073,tech_012,business086
26,politics_077,entertainment_065,football_091,tech_009,business002
27,politics_068,entertainment_049,football_058,tech_089,business061
28,politics_024,entertainment_035,football_046,tech_011,business095
29,politics_075,entertainment_042,football_018,tech_027,business008
30,politics_008,entertainment_029,football_027,tech_006,business054
31,politics_048,entertainment_085,football_013,tech_008,business041
32,politics_089,entertainment_072,football_032,tech_066,business091
33,politics_092,entertainment_044,football_011,tech_039,business085
34,politics_009,entertainment_006,football_082,tech_078,business055
35,politics_036,entertainment_084,football_050,tech_062,business012
36,politics_083,entertainment_071,football_067,tech_081,business039
37,politics_073,entertainment_068,football_051,tech_005,business080
38,politics_050,entertainment_040,football_094,tech_043,business083
39,politics_012,entertainment_053,football_012,tech_087,business032
40,politics_019,entertainment_089,football_043,tech_021,business096
41,politics_086,entertainment_008,football_074,tech_076,business052
42,politics_031,entertainment_087,football_061,tech_099,business042
43,politics_059,entertainment_092,football_031,tech_029,business058
44,politics_056,entertainment_054,football_064,tech_074,business071
45,politics_079,entertainment_060,football_071,tech_015,business038
46,politics_001,entertainment_041,football_041,tech_026,business037
47,politics_054,entertainment_028,football_015,tech_052,business093
48,politics_064,entertainment_081,football_059,tech_097,business017
49,politics_043,entertainment_037,football_057,tech_065,entertainment_066
50,politics_018,entertainment_096,football_093,tech_022,business029
